Area,Item,Year, hg/ha_yield , average_rain_fall_mm_per_year , pesticides_tonnes ,avg_temp
Albania,Maize,1990,"36,613","1,485",121,16.37
Albania,Potatoes,1990,"66,667","1,485",121,16.37
Albania,"Rice, paddy",1990,"23,333","1,485",121,16.37
Albania,Sorghum,1990,"12,500","1,485",121,16.37
Albania,Soybeans,1990,"7,000","1,485",121,16.37
Albania,Wheat,1990,"30,197","1,485",121,16.37
Albania,Maize,1991,"29,068","1,485",121,15.36
Albania,Potatoes,1991,"77,818","1,485",121,15.36
Albania,"Rice, paddy",1991,"28,538","1,485",121,15.36
Albania,Sorghum,1991,"6,667","1,485",121,15.36
Albania,Soybeans,1991,"6,066","1,485",121,15.36
Albania,Wheat,1991,"20,698","1,485",121,15.36
Albania,Maize,1992,"24,876","1,485",121,16.06
Albania,Potatoes,1992,"82,920","1,485",121,16.06
Albania,"Rice, paddy",1992,"40,000","1,485",121,16.06
Albania,Sorghum,1992,"3,747","1,485",121,16.06
Albania,Soybeans,1992,"4,507","1,485",121,16.06
Albania,Wheat,1992,"24,388","1,485",121,16.06
Albania,Maize,1993,"24,185","1,485",121,16.05
Albania,Potatoes,1993,"98,446","1,485",121,16.05
Albania,"Rice, paddy",1993,"41,786","1,485",121,16.05
Albania,Soybeans,1993,"7,998","1,485",121,16.05
Albania,Wheat,1993,"29,976","1,485",121,16.05
Albania,Maize,1994,"25,848","1,485",201,16.96
Albania,Potatoes,1994,"81,404","1,485",201,16.96
Albania,Soybeans,1994,"7,927","1,485",201,16.96
Albania,Wheat,1994,"24,745","1,485",201,16.96
Albania,Maize,1995,"31,300","1,485",251,15.67
Albania,Potatoes,1995,"111,323","1,485",251,15.67
Albania,Soybeans,1995,"11,791","1,485",251,15.67
Albania,Wheat,1995,"28,703","1,485",251,15.67
Albania,Maize,1996,"32,604","1,485",314,15.64
Albania,Potatoes,1996,"106,138","1,485",314,15.64
Albania,Soybeans,1996,"15,480","1,485",314,15.64
Albania,Wheat,1996,"21,741","1,485",314,15.64
Albania,Maize,1997,"31,862","1,485",377,15.9
Albania,Potatoes,1997,"109,874","1,485",377,15.9
Albania,Soybeans,1997,"12,768","1,485",377,15.9
Albania,Wheat,1997,"28,516","1,485",377,15.9
Albania,Maize,1998,"33,416","1,485",440,16.27
Albania,Potatoes,1998,"127,212","1,485",440,16.27
Albania,Soybeans,1998,"14,327","1,485",440,16.27
Albania,Wheat,1998,"28,037","1,485",440,16.27
Albania,Maize,1999,"37,455","1,485",503,16.57
Albania,Potatoes,1999,"142,018","1,485",503,16.57
Albania,Soybeans,1999,"17,143","1,485",503,16.57
Albania,Wheat,1999,"24,954","1,485",503,16.57
Albania,Maize,2000,"38,811","1,485",566,16.67
Albania,Potatoes,2000,"141,228","1,485",566,16.67
Albania,Soybeans,2000,"15,000","1,485",566,16.67
Albania,Wheat,2000,"30,455","1,485",566,16.67
Albania,Maize,2001,"38,135","1,485",629,16.59
Albania,Potatoes,2001,"148,818","1,485",629,16.59
Albania,Soybeans,2001,"20,000","1,485",629,16.59
Albania,Wheat,2001,"28,220","1,485",629,16.59
Albania,Maize,2002,"39,460","1,485",692,16.47
Albania,Potatoes,2002,"153,868","1,485",692,16.47
Albania,Soybeans,2002,"20,000","1,485",692,16.47
Albania,Wheat,2002,"31,617","1,485",692,16.47
Albania,Maize,2004,"46,197","1,485",818,16.16
